	A11	A1	A9	B1	B4	CER069	CER119	CER201	CER202	CER203	CER205	CER206	CER207	CER209	CER210	CER211	CER212	CER213	CER214	CER215	CER216	CER217	CER218	CER220	CER222	CER223	CER226	CER228	CER229	CER230	CER231	CER232	CER233	CER235	ENT021	ENT040	ENT048	ENT082	ENT086	ENT087	ENT093	ENT102	ENT123	ENT127	ENT059	ENT065	ENT089	ENT098	ENT108	ENT109	ENT111	ENT118	ENT119	ENT120	ENT121	ENT122	ENT124	ENT125	ENT129	ENT130	ENT131	ENT132	ENT134	ENT135	ENT138
Autographiviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2117	0	0	78	0	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292	0	0	120828	0	0	454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11540	0
Caulimoviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Drexlerviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	394353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Genomoviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	84	0	0	0	0	0	0
Herelleviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Inoviridae	0	0	0	0	0	0	0	0	0	629	0	0	0	0	0	11	0	0	0	0	0	2364	561	0	3718	469	0	1184	0	0	0	0	0	0	0	0	0	487	605	0	98	0	0	1704	0	0	0	0	0	0	0	0	0	0	2841	0	0	556	0	0	0	0	0	10	0
Microviridae	0	0	0	30	0	159	5010	0	0	1286	0	1058	0	78771	42794	0	0	0	6251	1856	0	21527	228207	606	33690	4525	266	3674	30033	0	418	0	508	27475	1816	0	7319	0	36	0	5192	0	0	18	6188	1040	1716	38780	38780	15395	0	0	21311	1124	29119	1939	0	120242	0	1937	522	10352	2225	9385	14047
Myoviridae	23	3607	2711	13961	0	2361	74788	58341	27370	22463	63	452	32549	1707	43285	0	22282	0	68	12548	22220	11996	45816	0	1552799	7918	17764	2125	3943	20799	1129	7602	10042	38857	0	8371	130604	71021	34208	11	5327	8039	0	17678	15298	120	17738	190306	190306	68521	17614	734953	14022	2604	86277	0	2682	171377	0	8070	43396	31042	25011	16594	84795
Papillomaviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Podoviridae	3572077	85226	6002	151588	0	40703	1293360	451044	907	475198	9931	221996	28910	390470	9476021	505028	2402450	0	13769824	697590	697	1410664	1511014	1573	4074172	259421	393646	1302632	2245211	3540796	14097	153033	205390	377551	170973	681547	603836	12101	622050	7657988	9726984	0	4953504	379689	3163622	260364	57047	3460112	3460112	1332399	10410	355774	220671	201917	2039609	53417	1479778	380772	276328	20762	534992	55587	1189896	159475	8057139
Polyomaviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0
Salasmaviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Siphoviridae	7043	38044	148787	341727	0	228720	451546	85845	185347	284413	40417	156332	93929	2772408	827323	1741	343590	2541	1887822	215582	52551	65361	1021045	15475	10461546	939546	690932	4890608	383231	435588	39977	68166	280961	1695273	67699	345548	1803695	427232	1201001	302368	1139708	58195	947182	274480	1229988	11859	168860	1264150	1264150	687457	1345940	2697001	221449	554003	1221483	430340	41975	2350238	110876	345385	1107814	110503	806152	105502	757734