Samp_Name	Tot_Samp_Reads	Unassigned_Step_One	Assigned_Step_Three	Unassigned_Step_Three
ENT021	4750693	443699	4170747	579946
ENT040	7992118	4276411	3555362	4436756
ENT048	19152461	1335581	17778180	1374281
ENT082	12110035	1746123	10255966	1854069
ENT086	14061721	1284863	12711285	1350436
ENT087	9948922	289702	9650745	298177
ENT093	26004533	4789506	21107449	4897084
ENT102	1264362	459596	726851	537511
ENT123	19973169	1317438	18516662	1456507
ENT127	12784625	928199	11792875	991750
